No	Year	Holy Saturday	Diff Next Year	Shift Day	Total Diff	Total Year	Next Holy Saturday
29	2052	"Saturday, April 20, 2052"	-14	-1	-15	365	"Saturday, April 5, 2053"
30	2053	"Saturday, April 5, 2053"	-7	-1	-8	365	"Saturday, March 28, 2054"
31	2054	"Saturday, March 28, 2054"	21	-1	20	365	"Saturday, April 17, 2055"
32	2055	"Saturday, April 17, 2055"	-14	-2	-16	366	"Saturday, April 1, 2056"
33	2056	"Saturday, April 1, 2056"	21	-1	20	365	"Saturday, April 21, 2057"
34	2057	"Saturday, April 21, 2057"	-7	-1	-8	365	"Saturday, April 13, 2058"
35	2058	"Saturday, April 13, 2058"	-14	-1	-15	365	"Saturday, March 29, 2059"
36	2059	"Saturday, March 29, 2059"	21	-2	19	366	"Saturday, April 17, 2060"
37	2060	"Saturday, April 17, 2060"	-7	-1	-8	365	"Saturday, April 9, 2061"
38	2061	"Saturday, April 9, 2061"	-7	-1	-8	365	"Saturday, April 1, 2062"
39	2062	"Saturday, April 1, 2062"	21	-1	20	365	"Saturday, April 21, 2063"
40	2063	"Saturday, April 21, 2063"	-14	-2	-16	366	"Saturday, April 5, 2064"
41	2064	"Saturday, April 5, 2064"	-7	-1	-8	365	"Saturday, March 28, 2065"
42	2065	"Saturday, March 28, 2065"	14	-1	13	365	"Saturday, April 10, 2066"
43	2066	"Saturday, April 10, 2066"	-7	-1	-8	365	"Saturday, April 2, 2067"
44	2067	"Saturday, April 2, 2067"	21	-2	19	366	"Saturday, April 21, 2068"
45	2068	"Saturday, April 21, 2068"	-7	-1	-8	365	"Saturday, April 13, 2069"
46	2069	"Saturday, April 13, 2069"	-14	-1	-15	365	"Saturday, March 29, 2070"
47	2070	"Saturday, March 29, 2070"	21	-1	20	365	"Saturday, April 18, 2071"
48	2071	"Saturday, April 18, 2071"	-7	-2	-9	366	"Saturday, April 9, 2072"
49	2072	"Saturday, April 9, 2072"	-14	-1	-15	365	"Saturday, March 25, 2073"
50	2073	"Saturday, March 25, 2073"	21	-1	20	365	"Saturday, April 14, 2074"
51	2074	"Saturday, April 14, 2074"	-7	-1	-8	365	"Saturday, April 6, 2075"
52	2075	"Saturday, April 6, 2075"	14	-2	12	366	"Saturday, April 18, 2076"
53	2076	"Saturday, April 18, 2076"	-7	-1	-8	365	"Saturday, April 10, 2077"
54	2077	"Saturday, April 10, 2077"	-7	-1	-8	365	"Saturday, April 2, 2078"
55	2078	"Saturday, April 2, 2078"	21	-1	20	365	"Saturday, April 22, 2079"
56	2079	"Saturday, April 22, 2079"	-14	-2	-16	366	"Saturday, April 6, 2080"
57	2080	"Saturday, April 6, 2080"	-7	-1	-8	365	"Saturday, March 29, 2081"
58	2081	"Saturday, March 29, 2081"	21	-1	20	365	"Saturday, April 18, 2082"
59	2082	"Saturday, April 18, 2082"	-14	-1	-15	365	"Saturday, April 3, 2083"
60	2083	"Saturday, April 3, 2083"	21	-2	19	366	"Saturday, April 22, 2084"
61	2084	"Saturday, April 22, 2084"	-7	-1	-8	365	"Saturday, April 14, 2085"
62	2085	"Saturday, April 14, 2085"	-14	-1	-15	365	"Saturday, March 30, 2086"
63	2086	"Saturday, March 30, 2086"	21	-1	20	365	"Saturday, April 19, 2087"
64	2087	"Saturday, April 19, 2087"	-7	-2	-9	366	"Saturday, April 10, 2088"
65	2088	"Saturday, April 10, 2088"	-7	-1	-8	365	"Saturday, April 2, 2089"
66	2089	"Saturday, April 2, 2089"	21	-1	20	365	"Saturday, April 22, 2090"
67	2090	"Saturday, April 22, 2090"	-14	-1	-15	365	"Saturday, April 7, 2091"
68	2091	"Saturday, April 7, 2091"	-7	-2	-9	366	"Saturday, March 29, 2092"
69	2092	"Saturday, March 29, 2092"	14	-1	13	365	"Saturday, April 11, 2093"
70	2093	"Saturday, April 11, 2093"	-7	-1	-8	365	"Saturday, April 3, 2094"
71	2094	"Saturday, April 3, 2094"	21	-1	20	365	"Saturday, April 23, 2095"
72	2095	"Saturday, April 23, 2095"	-7	-2	-9	366	"Saturday, April 14, 2096"
73	2096	"Saturday, April 14, 2096"	-14	-1	-15	365	"Saturday, March 30, 2097"
74	2097	"Saturday, March 30, 2097"	21	-1	20	365	"Saturday, April 19, 2098"
75	2098	"Saturday, April 19, 2098"	-7	-1	-8	365	"Saturday, April 11, 2099"
76	2099	"Saturday, April 11, 2099"	-14	-1	-15	365	"Saturday, March 27, 2100"
